BOX,PHASE,SUPPLIER,WAREHOUSE_STATUS,DATE,REMARKS,WAREHOUSE_UTILITY,METER NO.,METER MFG,IME,FINAL SIM,IMSI,IP,MFG_SERIAL_NUM,UDC_ID,NETWORK_ID,STATUS,"DECODE(D.ORG_ID,52,'SBPDCL',102,'NBPDCL')"
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0199826,LNTLT0199826,869810051479865,8991856050706300175,405856706300175,2405:0203:0523:A7E5:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0215226,LNTLT0215226,869810055406088,8991856050706369289,405856706369289,2405:0203:0523:210B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0217637,LNTLT0217637,869810051502609,8991856050706367227,405856706367227,2405:0203:0523:2A76:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0218716,LNTLT0218716,869810051070912,8991856050706327534,405856706327534,2405:0203:0523:2EAD:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0294815,LNTLT0294815,869810056002654,8991856050706380317,405856706380317,2405:0203:0524:CC60:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0308052,LNTLT0308052,869810058817935,8991856050706435630,405856706430630,2405:0203:0524:A7AC:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0346136,LNTLT0346136,869810055342192,8991856050706459489,405856706454489,2405:0203:0525:8C52:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0387546,LNTLT0387546,865681060061323,8991856040706328396,405856706873405,2405:0203:0526:0DD9:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0408103,LNTLT0408103,869810058870306,8991856050706548615,405856706543615,2405:0203:0526:65E0:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0437273,LNTLT0437273,869810056013057,8991856040706314859,405856706859868,2405:0203:0526:75AD:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0444357,LNTLT0444357,869810055798765,8991856040706078300,405856706623322,2405:0203:0527:16C0:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0469472,LNTLT0469472,865681061413622,8991856040706004152,405856706549174,2405:0203:0528:45C4:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0572699,LNTLT0572699,865681061223385,8991856040706039625,405856706584647,2405:0203:0529:8B55:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0666436,LNTLT0666436,860953069264314,8991856040706074337,405856706619359,2405:0203:052B:0334:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0816488,LNTLT0816488,860953065569229,8991856040706523299,405856707068308,2405:0203:052D:6151:0000:0000:0000:0010,,,,,
