S.R,METER NO.,IME,PHASE,WAREHOUSE_STATUS,FINAL SIM,WAREHOUSE_UTILITY,IMSI,IP,MAKE,MFG_SERIAL_NUM,METER_MATCH_UDC_ID,METER_MATCH_IP,INSTALLATIONNUMBER,METER_MATCH_STATUS,METER_MATCH_UTILITY,IMSI_MATCHED_METER_NO,IMSI_MATCHED_IP,IMSI_MATCHED_STATUS,IMSI_MATCHED_UTILITY,IP_MATCHED_METER_NO,IP_MATCH_UDC_ID,IP_MATCHED_IP,IP_MATCHED_STATUS,IP_MATCHED_UTILITY,SIM SET CHECK STATUS,METER_SIM,METER_ORG,SIM_ORG,METER_IP,SIM SET CHECK STATUS RECHECK,ACTION TAKEN,NEW_METER_NUMBER,Duplicated
1,LT0472079,865681061234614,1 Phase,S2S repaired,8991856040706194599,SBPDCL,405856706739608,2405:0203:0527:5BCA:0000:0000:0000:0010,L&T,LT0472079,405856706739608,2405:0203:0527:5BCA:0000:0000:0000:0010,5002411287,Retired,SBPDCL,LT0472079,2405:0203:0527:5BCA:0000:0000:0000:0010,Retired,SBPDCL,LT0472079,405856706739608,2405:0203:0527:5BCA:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0472079,Unique
2,LT0593519,865681061034543,1 Phase,S2S repaired,8991856040706337516,NBPDCL,405856706882525,2405:0203:0529:5F37:0000:0000:0000:0010,L&T,LT0593519,405856706882525,2405:0203:0529:5F37:0000:0000:0000:0010,5003855123,Retired,NBPDCL,LT0593519,2405:0203:0529:5F37:0000:0000:0000:0010,Retired,NBPDCL,LT0593519,405856706882525,2405:0203:0529:5F37:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0593519,Unique
3,LT1044471,861996077215454,1 Phase,S2S repaired,8991856040706470324,NBPDCL,405856707015333,2405:0203:0531:3EBF:0000:0000:0000:0010,L&T,LT1044471,405856707015333,2405:0203:0531:3EBF:0000:0000:0000:0010,5002825806,Retired,NBPDCL,LT1044471,2405:0203:0531:3EBF:0000:0000:0000:0010,Retired,NBPDCL,LT1044471,405856707015333,2405:0203:0531:3EBF:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1044471,Unique
4,LT1027036,865575062790469,1 Phase,S2S repaired,8991856040706552045,NBPDCL,405856707097054,2405:0203:0530:ECDD:0000:0000:0000:0010,L&T,LT1027036,405856707097054,2405:0203:0530:ECDD:0000:0000:0000:0010,5003787789,Retired,NBPDCL,LT1027036,2405:0203:0530:ECDD:0000:0000:0000:0010,Retired,NBPDCL,LT1027036,405856707097054,2405:0203:0530:ECDD:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1027036,Unique
5,LT0544610,865681062816898,1 Phase,S2S repaired,8991856040706343579,NBPDCL,405856706888599,2405:0203:0528:FD1A:0000:0000:0000:0010,L&T,LT0544610,405856706888599,2405:0203:0528:FD1A:0000:0000:0000:0010,5003797599,Retired,NBPDCL,LT0544610,2405:0203:0528:FD1A:0000:0000:0000:0010,Retired,NBPDCL,LT0544610,405856706888599,2405:0203:0528:FD1A:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0544610,Unique
6,LT0248967,869810058358963,1 Phase,S2S repaired,8991856050706466039,SBPDCL,405856706461039,2405:0203:0523:FE13:0000:0000:0000:0010,L&T,LT0248967,405856706461039,2405:0203:0523:FE13:0000:0000:0000:0010,5000652738,Retired,SBPDCL,LT0248967,2405:0203:0523:FE13:0000:0000:0000:0010,Retired,SBPDCL,LT0248967,405856706461039,2405:0203:0523:FE13:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0248967,Unique
7,LT0145587,861190057406198,1 Phase,S2S repaired,8991856050706054263,SBPDCL,405856706054263,2405:0203:0522:4F18:0000:0000:0000:0010,L&T,LT0145587,405856706054263,2405:0203:0522:4F18:0000:0000:0000:0010,5000969919,Retired,SBPDCL,LT0145587,2405:0203:0522:4F18:0000:0000:0000:0010,Retired,SBPDCL,LT0145587,405856706054263,2405:0203:0522:4F18:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0145587,Unique
8,LT0146924,861190056995555,1 Phase,S2S repaired,8991856050706314626,SBPDCL,405856706314626,2405:0203:0522:5451:0000:0000:0000:0010,L&T,LT0146924,405856706314626,2405:0203:0522:5451:0000:0000:0000:0010,5002698513,Retired,SBPDCL,LT0146924,2405:0203:0522:5451:0000:0000:0000:0010,Retired,SBPDCL,LT0146924,405856706314626,2405:0203:0522:5451:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0146924,Unique
9,LT0213071,869810053372142,1 Phase,S2S repaired,8991856050706368841,NBPDCL,405856706368841,2405:0203:0523:18A0:0000:0000:0000:0010,L&T,LT0213071,405856706368841,2405:0203:0523:18A0:0000:0000:0000:0010,ROSR-10574,Installed,NBPDCL,LT0213071,2405:0203:0523:18A0:0000:0000:0000:0010,Installed,NBPDCL,LT0213071,405856706368841,2405:0203:0523:18A0:0000:0000:0000:0010,Installed,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0213071,Unique
10,LT0145039,861190057420702,1 Phase,S2S repaired,8991856050706054412,SBPDCL,405856706054412,2405:0203:0522:4CF4:0000:0000:0000:0010,L&T,LT0145039,405856706054412,2405:0203:0522:4CF4:0000:0000:0000:0010,5001979323,Retired,SBPDCL,LT0145039,2405:0203:0522:4CF4:0000:0000:0000:0010,Retired,SBPDCL,LT0145039,405856706054412,2405:0203:0522:4CF4:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0145039,Unique
