S.r,Meter No.,IME,Phase,WAREHOUSE_STATUS,FINAL SIM,WAREHOUSE_UTILITY,IMSI,IP,Make
1,LT0472079,865681061234614,1 Phase,S2S repaired,8991856040706194599,SBPDCL,405856706739608,2405:0203:0527:5BCA:0000:0000:0000:0010,L&T
2,LT0593519,865681061034543,1 Phase,S2S repaired,8991856040706337516,NBPDCL,405856706882525,2405:0203:0529:5F37:0000:0000:0000:0010,L&T
3,LT1044471,861996077215454,1 Phase,S2S repaired,8991856040706470324,NBPDCL,405856707015333,2405:0203:0531:3EBF:0000:0000:0000:0010,L&T
4,LT1027036,865575062790469,1 Phase,S2S repaired,8991856040706552045,NBPDCL,405856707097054,2405:0203:0530:ECDD:0000:0000:0000:0010,L&T
5,LT0544610,865681062816898,1 Phase,S2S repaired,8991856040706343579,NBPDCL,405856706888599,2405:0203:0528:FD1A:0000:0000:0000:0010,L&T
6,LT0248967,869810058358963,1 Phase,S2S repaired,8991856050706466039,SBPDCL,405856706461039,2405:0203:0523:FE13:0000:0000:0000:0010,L&T
7,LT0145587,861190057406198,1 Phase,S2S repaired,8991856050706054263,SBPDCL,405856706054263,2405:0203:0522:4F18:0000:0000:0000:0010,L&T
8,LT0146924,861190056995555,1 Phase,S2S repaired,8991856050706314626,SBPDCL,405856706314626,2405:0203:0522:5451:0000:0000:0000:0010,L&T
9,LT0213071,869810053372142,1 Phase,S2S repaired,8991856050706368841,NBPDCL,405856706368841,2405:0203:0523:18A0:0000:0000:0000:0010,L&T
10,LT0145039,861190057420702,1 Phase,S2S repaired,8991856050706054412,SBPDCL,405856706054412,2405:0203:0522:4CF4:0000:0000:0000:0010,L&T
11,LT1043271,861996078327217,1 Phase,S2S repaired,8991856040706470716,NBPDCL,405856707015725,2405:0203:0531:3A0F:0000:0000:0000:0010,L&T
12,LT0718643,860953069387099,1 Phase,S2S repaired,8991856040706721462,NBPDCL,405856707266465,2405:0203:052B:D755:0000:0000:0000:0010,L&T
13,LT0644105,861996078323885,1 Phase,S2S repaired,8991856040706215416,NBPDCL,405856706760425,2405:0203:052A:90E1:0000:0000:0000:0010,L&T
14,LT0586010,861996077250535,1 Phase,S2S repaired,8991856040706113730,NBPDCL,405856706658752,2405:0203:0529:BF54:0000:0000:0000:0010,L&T
15,LT0612504,861996078337745,1 Phase,S2S repaired,8991856040706175553,NBPDCL,405856706720562,2405:0203:0529:FF7F:0000:0000:0000:0010,L&T
16,LT0599205,869810055487419,1 Phase,S2S repaired,8991856040706135658,SBPDCL,405856706680680,2405:0203:0529:D80D:0000:0000:0000:0010,L&T
17,LT0092190,866545057843408,1 Phase,S2S repaired,8991856050706137011,SBPDCL,405856706137011,2405:0203:0521:5114:0000:0000:0000:0010,L&T
18,LT0441851,865681061857026,1 Phase,S2S repaired,8991856040706249724,SBPDCL,405856706794734,2405:0203:0526:878F:0000:0000:0000:0010,L&T
19,LT0530480,865681062700480,1 Phase,S2S repaired,8991856040706056218,SBPDCL,405856706601240,2405:0203:0529:0BFA:0000:0000:0000:0010,L&T
20,LT0771623,868886060758946,1 Phase,S2S repaired,8991856040706648708,SBPDCL,405856707193708,2405:0203:052C:7F39:0000:0000:0000:0010,L&T
21,LT0709883,860953069190857,1 Phase,S2S repaired,8991856040706623745,SBPDCL,405856707168754,2405:0203:052B:B51D:0000:0000:0000:0010,L&T
